participant,lexicality,spelling,button,response,accuracy,previous_accuracy,rt,nletters,CELEX_frequency
1,N,vatted,1,W,0,1,685,6,0
1,N,vazes,2,N,1,1,508,5,0
1,N,vikes,2,N,1,1,639,5,0
1,W,village,1,W,1,0,517,7,2422
1,W,voice,1,W,1,1,473,5,4159
1,W,waiting,1,W,1,1,512,7,2491
1,W,walked,1,W,1,0,518,6,2760
1,N,walkhound,2,N,1,1,579,9,0
1,W,wall,1,W,1,1,471,4,2374
1,N,warlards,2,N,1,1,710,8,0
1,N,wartsag,2,N,1,1,663,7,0
1,N,watchgirds,2,N,1,1,619,10,0
1,W,ways,1,W,1,1,526,4,2793
1,N,weeter,2,N,1,1,688,6,0
1,N,weeveing,2,N,1,1,754,8,0
1,N,wexen,2,N,1,1,587,5,0
1,W,whether,1,W,1,1,501,7,5978
1,N,whorers,1,W,0,1,982,7,0
1,W,within,1,W,1,1,617,6,5239
1,W,woman,1,W,1,1,491,5,6072
1,W,women,1,W,1,1,540,5,9169
1,N,wooneals,2,N,1,1,600,8,0
1,W,word,1,W,1,1,654,4,3950
1,W,work,1,W,1,1,518,4,14931
1,W,worked,1,W,1,1,606,6,2600
1,W,workers,1,W,1,1,634,7,3020
1,W,world,1,W,1,1,545,5,13345
1,W,would,1,W,1,1,564,5,52884
1,W,wrong,1,W,1,1,602,5,3754
1,W,year,1,W,1,1,475,4,9105
2,W,able,2,W,1,1,451,4,5870
2,N,adbries,1,N,1,1,601,7,0
2,N,affope,1,N,1,1,470,6,0
2,W,age,2,W,1,1,397,3,4437
2,W,ago,2,W,1,0,717,3,4030
2,N,ahord,1,N,1,1,471,5,0
2,W,air,2,W,1,0,1434,3,4496
2,N,alap,1,N,1,1,901,4,0
2,N,allaps,1,N,1,1,587,6,0
2,N,alldets,1,N,1,1,529,7,0
2,N,allob,1,N,1,1,608,5,0
2,W,allowed,2,W,1,0,418,7,2370
2,W,almost,2,W,1,1,437,6,8426
2,W,alone,2,W,1,1,472,5,3714
2,N,anyne,1,N,1,1,427,5,0
2,W,area,2,W,1,1,436,4,3603
2,N,arecand,1,N,1,1,588,7,0
2,W,arms,2,W,1,1,422,4,2668
2,N,arrume,1,N,1,1,510,6,0
2,N,artbrace,1,N,1,0,525,8,0
2,N,asan,1,N,1,1,805,4,0
2,W,ask,2,W,1,1,486,3,4052
2,N,assones,1,N,1,1,527,7,0
2,N,atake,1,N,1,0,499,5,0
2,N,ayards,1,N,1,1,521,6,0
2,N,aydran,1,N,1,1,538,6,0
2,W,baby,2,W,1,1,456,4,3281
2,W,back,2,W,1,1,405,4,22071
2,N,baise,1,N,1,1,490,5,0
2,N,beave,1,N,1,1,511,5,0
2,N,beaved,1,N,1,1,560,6,0
2,W,become,2,W,1,1,415,6,6925
2,W,bed,2,W,1,1,446,3,4376
2,W,began,2,W,1,1,447,5,6392
2,W,behind,2,W,1,1,493,6,5741
2,W,believe,2,W,1,1,414,7,5156
2,N,bequtch,1,N,1,1,578,7,0
2,W,big,2,W,1,1,378,3,5677
2,N,bisters,1,N,1,1,712,7,0
2,W,black,2,W,1,1,431,5,6011
2,N,blant,1,N,1,1,561,5,0
2,N,blindmows,1,N,1,1,539,9,0
2,W,books,2,W,1,1,445,5,2948
2,W,boys,2,W,1,1,438,4,2599
2,N,brap,1,N,1,1,466,4,0
2,N,brears,1,N,1,1,494,6,0
2,N,breefs,1,N,1,1,579,6,0
2,W,britain,2,W,1,1,676,7,4169
2,N,bruite,1,N,1,1,495,6,0
2,N,buddhands,1,N,1,1,561,9,0
2,W,building,2,W,1,1,448,8,2854
2,N,bumb,1,N,1,1,461,4,0
2,N,bumpfirth,1,N,1,1,573,9,0
2,N,burdemned,1,N,1,1,486,9,0
2,N,caicets,1,N,1,1,527,7,0
2,N,caiths,1,N,1,1,607,6,0
2,W,call,2,W,1,1,393,4,4276
2,W,car,2,W,1,1,454,3,4944
2,W,case,2,W,1,1,410,4,6866
2,N,caspode,1,N,1,1,733,7,0
2,N,causemen,1,N,1,1,1514,8,0
2,N,cedders,1,N,1,1,1014,7,0
2,W,cent,2,W,1,0,460,4,10038
2,W,centre,2,W,1,1,434,6,3135
2,N,chalms,1,N,1,1,647,6,0
2,W,chance,2,W,1,1,500,6,2621
2,W,change,2,W,1,1,425,6,4909
2,N,chimbles,1,N,1,1,486,8,0
2,N,chinty,1,N,1,1,450,6,0
2,W,class,2,W,1,1,571,5,3793
2,N,clealy,1,N,1,1,488,6,0
2,W,clearly,2,W,1,1,483,7,2561
2,N,cleased,1,N,1,1,614,7,0
2,N,cleshing,1,N,1,1,442,8,0
2,N,clushed,1,N,1,1,613,7,0
2,N,codcreel,1,N,1,1,438,8,0
2,N,coflu,1,N,1,1,585,5,0
2,N,coirs,1,N,1,1,1584,5,0
2,N,combens,1,N,1,1,849,7,0
2,W,come,2,W,1,1,473,4,15605
2,W,comes,2,W,1,1,450,5,3394
2,W,common,2,W,1,1,461,6,3234
2,N,compots,2,W,0,1,519,7,0
2,N,conculls,1,N,1,1,974,8,0
2,N,connes,1,N,1,1,583,6,0
2,N,conzes,1,N,1,1,486,6,0
2,N,copting,1,N,1,1,640,7,0
2,W,cost,2,W,1,1,475,4,2497
2,W,country,2,W,1,1,505,7,6561
2,N,crailbred,1,N,1,1,538,9,0
2,N,crankness,2,W,0,1,813,9,0
2,N,crirps,1,N,1,1,529,6,0
2,N,critecruss,1,N,1,0,491,10,0
2,N,crostcind,1,N,1,1,444,9,0
2,N,cucking,1,N,1,1,2021,7,0
2,N,cunkect,1,N,1,1,435,7,0
2,W,cut,2,W,1,1,449,3,3180
2,N,dabbon,1,N,1,1,551,6,0
2,N,dape,1,N,1,1,570,4,0
2,W,dark,2,W,1,1,460,4,3331
2,W,days,2,W,1,1,373,4,6999
2,W,dead,2,W,1,1,437,4,3289
2,W,deal,2,W,1,0,425,4,3153
2,W,death,2,W,1,1,461,5,4008
2,W,deep,2,W,1,1,450,4,2413
2,N,detued,1,N,1,1,522,6,0
2,N,dinnects,1,N,1,1,419,8,0
2,N,displaked,1,N,1,1,701,9,0
2,N,doger,1,N,1,1,939,5,0
2,N,draced,1,N,1,1,634,6,0
2,N,draughed,1,N,1,0,593,8,0
2,N,dwaw,1,N,1,1,466,4,0
2,W,early,2,W,1,1,508,5,5698
2,N,earnumns,1,N,1,1,650,8,0
2,W,earth,2,W,1,1,428,5,2825
2,W,east,2,W,1,1,521,4,2409
2,W,either,2,W,1,1,520,6,5303
2,N,enbeys,1,N,1,1,621,6,0
2,W,english,2,W,1,1,439,7,3681
2,W,enough,2,W,1,1,578,6,8881
2,N,esdorts,1,N,1,1,468,7,0
2,N,eticts,1,N,1,1,487,6,0
2,W,even,2,W,1,1,451,4,23445
2,W,every,2,W,1,1,526,5,9788
2,N,fabble,1,N,1,1,850,6,0
2,W,fact,2,W,1,1,418,4,9130
