song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
That's On MeMac Miller,Mac Miller,That's On Me,"['hip hop', 'pittsburgh rap', 'rap']",0.583,-10.086,0.0261,0.342,61
Sand In My BootsMorgan Wallen,Morgan Wallen,Sand In My Boots,['contemporary country'],0.403,-6.628,0.031,0.414,77
PowerglideRae Sremmurd & Juicy J,Rae Sremmurd & Juicy J,Powerglide,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.713,-4.75,0.15,0.584,76
Santa Claus Is Coming To TownThe 4 Seasons,The 4 Seasons,Santa Claus Is Coming To Town,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']",0.739,-12.855,0.0682,0.888,41
Train FoodXXXTENTACION,XXXTENTACION,Train Food,"['emo rap', 'miami hip hop']",0.492,-7.278,0.691,0.23,63
Who Is ItMichael Jackson,Michael Jackson,Who Is It,"['pop', 'r&b', 'soul']",0.862,-4.655,0.121,0.502,59
I DoColbie Caillat,Colbie Caillat,I Do,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",0.656,-5.656,0.0329,0.958,63
Jingle Bell RockBobby Helms,Bobby Helms,Jingle Bell Rock,['adult standards'],0.754,-8.463,0.0363,0.806,89
Ready For The Times To Get BetterCrystal Gayle,Crystal Gayle,Ready For The Times To Get Better,"['adult standards', 'classic country pop', 'country', 'country rock', 'mellow gold']",0.652,-7.834,0.0286,0.586,25
Miss MurderAFI,AFI,Miss Murder,"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",0.309,-4.49,0.0488,0.725,71
Love You Out LoudRascal Flatts,Rascal Flatts,Love You Out Loud,"['contemporary country', 'country', 'country road']",0.627,-2.714,0.0426,0.452,43
