subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
21,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
21,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
21,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
22,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
22,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
23,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
23,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
24,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
24,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
24,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
25,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
25,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
25,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
25,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
25,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
25,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
25,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
25,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
26,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
26,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
26,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
26,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
26,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
26,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
26,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
26,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
27,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
27,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
27,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
28,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
28,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
29,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
29,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
29,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
30,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
